type_entity,other_type,count
FOOD,QUANTITY,7348
FOOD,UNIT,6139
QUANTITY,UNIT,6023
FOOD,PROCESS,2355
PROCESS,QUANTITY,2186
PROCESS,UNIT,1808
FOOD,PHYSICAL_QUALITY,1376
PHYSICAL_QUALITY,QUANTITY,1248
PHYSICAL_QUALITY,UNIT,1034
PHYSICAL_QUALITY,PROCESS,416
COLOR,FOOD,337
COLOR,QUANTITY,306
FOOD,PURPOSE,280
COLOR,UNIT,261
FOOD,TASTE,227
QUANTITY,TASTE,224
PURPOSE,QUANTITY,214
TASTE,UNIT,199
PURPOSE,UNIT,173
COLOR,PROCESS,110
FOOD,PART,70
PART,QUANTITY,68
PROCESS,TASTE,68
COLOR,PHYSICAL_QUALITY,63
PROCESS,PURPOSE,58
PART,UNIT,53
PHYSICAL_QUALITY,PURPOSE,47
PHYSICAL_QUALITY,TASTE,40
PART,PHYSICAL_QUALITY,22
PART,PROCESS,18
COLOR,PURPOSE,14
PURPOSE,TASTE,9
COLOR,TASTE,7
COLOR,PART,2
PART,PURPOSE,1
PART,TASTE,1
