sentence_id,entity,type_entity,entity_length_chars,iob_tag
SENT_2532180,http://www.foodnetwork.com/recipes/emeril-lagasse/chickpea-spread-with-sesame-seed-paste-hummus-bi-tahina-recipe/index.html?oc=linkback,FOOD,135,
SENT_1969507,http://www.foodnetwork.com/recipes/guy-fieri/johnny-garlics-famous-garlic-and-rosemary-mashed-potatoes-recipe/index.html?oc=linkback,FOOD,132,
SENT_805387,http://www.foodnetwork.com/recipes/tyler-florence/egg-salad-sandwich-with-avocado-and-watercress-recipe.html?oc=linkback,FOOD,120,
SENT_104924,http://www.foodnetwork.com/recipes/emeril-lagasse/stir-fried-pork-and-broccoli-with-cashews-recipe.html?oc=linkback,FOOD,115,
SENT_2347620,http://www.foodnetwork.com/recipes/giada-de-laurentiis/grilled-tuna-with-basil-pesto-recipe.html?oc=linkback,FOOD,108,
SENT_1277604,http://www.foodnetwork.com/recipes/bobby-flay/perfectly-grilled-corn-on-the-cob-recipe.html?oc=linkback,FOOD,103,
SENT_1025500,http://www.foodnetwork.com/recipes/giada-de-laurentiis/deviled-eggs-with-crab-recipe.html?oc=linkback,FOOD,101,
SENT_1504892,http://www.foodnetwork.com/recipes/ina-garten/tomato-feta-pasta-salad-recipe/index.html?oc=linkback,FOOD,99,
SENT_2653729,http://www.foodnetwork.com/recipes/ina-garten/lobster-mac-and-cheese-recipe/index.html?oc=linkback,FOOD,98,
SENT_2521107,lime - added just prior to serving - stir well then serve top with ingredients listed below,FOOD,91,
SENT_2379697,http://www.foodnetwork.com/recipes/ina-garten/lemon-chicken-breasts-recipe.html?oc=linkback,FOOD,91,
SENT_1052227,http://www.foodnetwork.com/recipes/ree-drummond/drip-beef-sandwiches.print.html?oc=linkback,FOOD,91,
SENT_140623,http://www.foodnetwork.com/recipes/ina-garten/parkers-beef-stew-recipe.html?oc=linkback,FOOD,87,
SENT_3079346,http://www.foodnetwork.com/recipes/rachael-ray/mexican-lasagna-recipe.html?oc=linkback,FOOD,86,
SENT_135527,Cream style corn Flour for coating Egg whites for coating Bread crumbs for coating,FOOD,82,B-FOOD  I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD I-FOOD
