bigram,count
['in' 'a'],67871
['in' 'the'],32128
['of' 'the'],28831
['1' 'cup'],28628
['salt' 'and'],27180
['1/2' 'cup'],24396
['add' 'the'],24037
['or' 'until'],23315
['1/2' 'c.'],22465
['1' 'c.'],22446
['2' 'tablespoons'],22384
['to' 'a'],22205
['stir' 'in'],21941
['a' 'large'],21891
['1' 'teaspoon'],21887
['1' 'tablespoon'],21719
['1' '1/2'],20970
['bake' 'at'],19792
['1/4' 'cup'],17959
['oven' 'to'],16900
['minutes' 'or'],16670
['and' 'cook'],16188
['with' 'a'],16019
['with' 'the'],15564
['1' 'tsp.'],14583
['to' 'the'],13282
['into' 'a'],13156
['remove' 'from'],12232
['1/2' 'teaspoon'],12214
['sugar' 'and'],12213
['2' 'cups'],12097
['top' 'with'],11610
['cut' 'into'],11299
['cover' 'and'],11080
['into' 'the'],10849
['preheat' 'oven'],10756
['and' 'add'],10738
['sprinkle' 'with'],10623
['until' 'the'],10620
['bring' 'to'],10608
"['sugar,' '1']",10280
['1/2' 'tsp.'],10137
['2' 'c.'],9878
['on' 'a'],9803
['and' 'stir'],9752
['1' 'can'],9592
['a' 'small'],9479
['over' 'medium'],9419
['pour' 'into'],9370
"['olive' 'oil,']",9242
