sentence,count
and,466311
the,342323
1,286610
in,239872
to,229430
a,203711
with,147957
2,140809
until,130353
add,127476
of,120662
1/2,113913
for,111536
cup,99532
or,96188
into,82207
c.,80043
on,72718
over,62327
mix,60274
minutes.,55967
3,54048
teaspoon,52258
1/4,50718
bake,50541
at,50364
heat,49839
minutes,49382
cook,48710
stir,48233
large,48047
salt,44854
place,40754
4,40499
cups,39817
baking,39747
tablespoons,39149
about,38392
is,37939
tsp.,37412
sugar,37020
pour,37000
cream,36872
mixture,35856
butter,35374
"sugar,",34502
oven,34376
chicken,33358
water,32872
can,31781
