category,main_category,count
bebidas,no especificado,2129
cervezas,bebidas,1382
whisky,licores,1303
cervezas,no especificado,1124
doses,destilados,1049
tequila,licores,936
ron,licores,923
entradas,no especificado,882
bebidas ,no especificado,740
bebidas calientes,bebidas,721
licores,bebidas,698
bebidas ,bebidas,668
cervejas,bebidas,665
vino tinto,vinos,611
vinos tintos,vinos,594
entradas,comidas,583
licores,no especificado,565
petiscos,pratos,515
drinks clássicos,drinks,513
vodka,licores,510
postres,no especificado,504
whisky,destilados,490
bebidas frías,bebidas,489
vinos,no especificado,466
cervezas,licores,436
jugos,bebidas,413
whisky,bebidas,410
drinks,bebidas,407
ginebra,licores,377
jugos naturales,bebidas,370
cócteles,bebidas,361
whisky,no especificado,359
petiscos,comidas,349
pizzas,no especificado,347
desayunos,no especificado,344
tequila,bebidas,342
vinos blancos,vinos,341
whiskys ,no especificado,334
doses,bebidas,327
bebidas,bebidas ,327
entradas,pratos,323
vinos tintos ,vinos,323
vinos,bebidas,315
sucos,bebidas,315
hamburguesas,no especificado,313
caipirinhas,drinks,306
cocteles,no especificado,303
adicionales,no especificado,302
adiciones,no especificado,300
ron,bebidas,298
